2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[296]	valid_0's rmse: 0.029936	valid_0's l2: 0.000896162
[297]	valid_0's rmse: 0.029864	valid_0's l2: 0.00089186
[298]	valid_0's rmse: 0.0297932	valid_0's l2: 0.000887633
[299]	valid_0's rmse: 0.0297229	valid_0's l2: 0.000883449
[300]	valid_0's rmse: 0.0296536	valid_0's l2: 0.000879335
[301]	valid_0's rmse: 0.0295855	valid_0's l2: 0.0008753
[302]	valid_0's rmse: 0.029518	valid_0's l2: 0.000871315
[303]	valid_0's rmse: 0.0294509	valid_0's l2: 0.000867354
[304]	valid_0's rmse: 0.0293844	valid_0's l2: 0.000863444
[305]	valid_0's rmse: 0.0293191	valid_0's l2: 0.000859608
[306]	valid_0's rmse: 0.029254	valid_0's l2: 0.000855794
[307]	valid_0's rmse: 0.0291917	valid_0's l2: 0.000852154
[308]	valid_0's rmse: 0.0291283	valid_0's l2: 0.000848459
[309]	valid_0's rmse: 0.0290658	valid_0's l2: 0.000844821
[310]	valid_0's rmse: 0.0290037	valid_0's l2: 0.000841213
[311]	valid_0's rmse: 0.0289421	valid_0's l2: 0.000837646
[312]	valid_0's rmse: 0.0288817	valid_0's l2: 0.000834154
[313]	valid_0's rmse: 0.0288218	valid_0's l2: 0.000830694
[314]	valid_0's rmse: 0.0287627	valid_0's l2: 0.000827292
[315]	valid_0's rmse: 0.0287043	valid_0's l2: 0.000823935
[316]	valid_0's rmse: 0.0286468	valid_0's l2: 0.000820639
[317]	valid_0's rmse: 0.0285912	valid_0's l2: 0.000817458
[318]	valid_0's rmse: 0.0285347	valid_0's l2: 0.000814227
[319]	valid_0's rmse: 0.0284792	valid_0's l2: 0.000811062
[320]	valid_0's rmse: 0.0284251	valid_0's l2: 0.000807985
[321]	valid_0's rmse: 0.0283703	valid_0's l2: 0.000804877
[322]	valid_0's rmse: 0.0283165	valid_0's l2: 0.000801825
[323]	valid_0's rmse: 0.0282633	valid_0's l2: 0.000798816
[324]	valid_0's rmse: 0.0282106	valid_0's l2: 0.000795837
[325]	valid_0's rmse: 0.0281594	valid_0's l2: 0.000792953
[326]	valid_0's rmse: 0.0281075	valid_0's l2: 0.00079003
[327]	valid_0's rmse: 0.0280567	valid_0's l2: 0.000787179
[328]	valid_0's rmse: 0.0280067	valid_0's l2: 0.000784376
[329]	valid_0's rmse: 0.027957	valid_0's l2: 0.000781595
[330]	valid_0's rmse: 0.0279082	valid_0's l2: 0.000778868
[331]	valid_0's rmse: 0.02786	valid_0's l2: 0.000776177
[332]	valid_0's rmse: 0.027814	valid_0's l2: 0.000773621
[333]	valid_0's rmse: 0.0277667	valid_0's l2: 0.000770988
[334]	valid_0's rmse: 0.0277202	valid_0's l2: 0.000768407
[335]	valid_0's rmse: 0.0276755	valid_0's l2: 0.000765931
[336]	valid_0's rmse: 0.0276299	valid_0's l2: 0.000763412
[337]	valid_0's rmse: 0.0275849	valid_0's l2: 0.000760925
[338]	valid_0's rmse: 0.027541	valid_0's l2: 0.000758506
[339]	valid_0's rmse: 0.0274973	valid_0's l2: 0.0007561
[340]	valid_0's rmse: 0.0274537	valid_0's l2: 0.000753704
[341]	valid_0's rmse: 0.0274108	valid_0's l2: 0.000751351
[342]	valid_0's rmse: 0.0273689	valid_0's l2: 0.000749055
[343]	valid_0's rmse: 0.0273277	valid_0's l2: 0.000746805
[344]	valid_0's rmse: 0.027286	valid_0's l2: 0.000744526
[345]	valid_0's rmse: 0.0272453	valid_0's l2: 0.000742308
[346]	valid_0's rmse: 0.0272048	valid_0's l2: 0.000740102
[347]	valid_0's rmse: 0.0271651	valid_0's l2: 0.000737943
[348]	valid_0's rmse: 0.0271252	valid_0's l2: 0.000735778
[349]	valid_0's rmse: 0.0270862	valid_0's l2: 0.00073366
[350]	valid_0's rmse: 0.0270475	valid_0's l2: 0.000731569
[351]	valid_0's rmse: 0.0270101	valid_0's l2: 0.000729545
[352]	valid_0's rmse: 0.0269725	valid_0's l2: 0.000727517
[353]	valid_0's rmse: 0.0269351	valid_0's l2: 0.000725499
[354]	valid_0's rmse: 0.026899	valid_0's l2: 0.000723558
[355]	valid_0's rmse: 0.0268625	valid_0's l2: 0.000721595
[356]	valid_0's rmse: 0.0268265	valid_0's l2: 0.000719663
[357]	valid_0's rmse: 0.0267928	valid_0's l2: 0.000717855
[358]	valid_0's rmse: 0.026758	valid_0's l2: 0.000715991
[359]	valid_0's rmse: 0.0267245	valid_0's l2: 0.000714199
[360]	valid_0's rmse: 0.0266901	valid_0's l2: 0.000712361
[361]	valid_0's rmse: 0.0266562	valid_0's l2: 0.000710551
[362]	valid_0's rmse: 0.0266231	valid_0's l2: 0.000708789
[363]	valid_0's rmse: 0.0265903	valid_0's l2: 0.000707046
[364]	valid_0's rmse: 0.0265594	valid_0's l2: 0.0007054
[365]	valid_0's rmse: 0.0265271	valid_0's l2: 0.000703689
[366]	valid_0's rmse: 0.0264956	valid_0's l2: 0.000702014
[367]	valid_0's rmse: 0.0264642	valid_0's l2: 0.000700352
[368]	valid_0's rmse: 0.0264332	valid_0's l2: 0.000698712
[369]	valid_0's rmse: 0.0264026	valid_0's l2: 0.000697096
[370]	valid_0's rmse: 0.0263726	valid_0's l2: 0.000695514
[371]	valid_0's rmse: 0.0263429	valid_0's l2: 0.000693946
[372]	valid_0's rmse: 0.0263134	valid_0's l2: 0.000692396
[373]	valid_0's rmse: 0.0262844	valid_0's l2: 0.00069087
[374]	valid_0's rmse: 0.0262556	valid_0's l2: 0.000689359
[375]	valid_0's rmse: 0.0262267	valid_0's l2: 0.000687839
[376]	valid_0's rmse: 0.026199	valid_0's l2: 0.000686387
[377]	valid_0's rmse: 0.0261715	valid_0's l2: 0.000684947
[378]	valid_0's rmse: 0.026144	valid_0's l2: 0.000683511
[379]	valid_0's rmse: 0.0261172	valid_0's l2: 0.000682108
[380]	valid_0's rmse: 0.0260905	valid_0's l2: 0.000680716
[381]	valid_0's rmse: 0.0260643	valid_0's l2: 0.000679347
[382]	valid_0's rmse: 0.0260392	valid_0's l2: 0.000678038
[383]	valid_0's rmse: 0.0260134	valid_0's l2: 0.000676696
[384]	valid_0's rmse: 0.025988	valid_0's l2: 0.000675378
[385]	valid_0's rmse: 0.025963	valid_0's l2: 0.000674076
[386]	valid_0's rmse: 0.0259382	valid_0's l2: 0.000672788
[387]	valid_0's rmse: 0.0259137	valid_0's l2: 0.000671521
[388]	valid_0's rmse: 0.0258896	valid_0's l2: 0.00067027
[389]	valid_0's rmse: 0.0258658	valid_0's l2: 0.000669042
[390]	valid_0's rmse: 0.0258419	valid_0's l2: 0.000667804
[391]	valid_0's rmse: 0.0258186	valid_0's l2: 0.000666601
[392]	valid_0's rmse: 0.0257955	valid_0's l2: 0.00066541
[393]	valid_0's rmse: 0.0257727	valid_0's l2: 0.000664231
[394]	valid_0's rmse: 0.0257502	valid_0's l2: 0.000663071
[395]	valid_0's rmse: 0.0257289	valid_0's l2: 0.000661979
[396]	valid_0's rmse: 0.0257079	valid_0's l2: 0.000660898
[397]	valid_0's rmse: 0.0256864	valid_0's l2: 0.000659791
[398]	valid_0's rmse: 0.0256653	valid_0's l2: 0.000658708
[399]	valid_0's rmse: 0.0256448	valid_0's l2: 0.000657656
[400]	valid_0's rmse: 0.0256243	valid_0's l2: 0.000656605
[401]	valid_0's rmse: 0.0256039	valid_0's l2: 0.000655559
[402]	valid_0's rmse: 0.0255837	valid_0's l2: 0.000654528
[403]	valid_0's rmse: 0.0255635	valid_0's l2: 0.000653493
[404]	valid_0's rmse: 0.0255438	valid_0's l2: 0.000652483
[405]	valid_0's rmse: 0.0255239	valid_0's l2: 0.00065147
[406]	valid_0's rmse: 0.0255051	valid_0's l2: 0.00065051
[407]	valid_0's rmse: 0.0254863	valid_0's l2: 0.000649551
[408]	valid_0's rmse: 0.0254675	valid_0's l2: 0.000648592
[409]	valid_0's rmse: 0.0254492	valid_0's l2: 0.000647661
[410]	valid_0's rmse: 0.0254307	valid_0's l2: 0.000646723
[411]	valid_0's rmse: 0.0254123	valid_0's l2: 0.000645787
[412]	valid_0's rmse: 0.0253944	valid_0's l2: 0.000644873
[413]	valid_0's rmse: 0.0253768	valid_0's l2: 0.000643984
[414]	valid_0's rmse: 0.0253591	valid_0's l2: 0.000643085
[415]	valid_0's rmse: 0.0253419	valid_0's l2: 0.00064221
[416]	valid_0's rmse: 0.0253244	valid_0's l2: 0.000641328
[417]	valid_0's rmse: 0.0253075	valid_0's l2: 0.000640471
[418]	valid_0's rmse: 0.025291	valid_0's l2: 0.000639633
[419]	valid_0's rmse: 0.0252751	valid_0's l2: 0.000638832
[420]	valid_0's rmse: 0.0252591	valid_0's l2: 0.00063802
[421]	valid_0's rmse: 0.0252431	valid_0's l2: 0.000637213
[422]	valid_0's rmse: 0.0252274	valid_0's l2: 0.000636421
[423]	valid_0's rmse: 0.0252119	valid_0's l2: 0.00063564
[424]	valid_0's rmse: 0.025197	valid_0's l2: 0.000634886
[425]	valid_0's rmse: 0.0251819	valid_0's l2: 0.000634126
[426]	valid_0's rmse: 0.0251666	valid_0's l2: 0.00063336
[427]	valid_0's rmse: 0.0251524	valid_0's l2: 0.000632643
[428]	valid_0's rmse: 0.0251377	valid_0's l2: 0.000631903
[429]	valid_0's rmse: 0.0251229	valid_0's l2: 0.000631162
[430]	valid_0's rmse: 0.0251087	valid_0's l2: 0.000630448
[431]	valid_0's rmse: 0.025095	valid_0's l2: 0.000629757
[432]	valid_0's rmse: 0.0250815	valid_0's l2: 0.000629083
[433]	valid_0's rmse: 0.0250679	valid_0's l2: 0.000628402
[434]	valid_0's rmse: 0.0250547	valid_0's l2: 0.000627737
[435]	valid_0's rmse: 0.0250416	valid_0's l2: 0.000627084
[436]	valid_0's rmse: 0.0250286	valid_0's l2: 0.00062643
[437]	valid_0's rmse: 0.0250153	valid_0's l2: 0.000625766
[438]	valid_0's rmse: 0.0250027	valid_0's l2: 0.000625133
[439]	valid_0's rmse: 0.0249898	valid_0's l2: 0.000624493
[440]	valid_0's rmse: 0.0249777	valid_0's l2: 0.000623886
[441]	valid_0's rmse: 0.0249654	valid_0's l2: 0.00062327
[442]	valid_0's rmse: 0.0249535	valid_0's l2: 0.000622678
[443]	valid_0's rmse: 0.0249411	valid_0's l2: 0.000622057
[444]	valid_0's rmse: 0.0249291	valid_0's l2: 0.00062146
[445]	valid_0's rmse: 0.0249172	valid_0's l2: 0.000620868
[446]	valid_0's rmse: 0.0249056	valid_0's l2: 0.000620287
[447]	valid_0's rmse: 0.0248939	valid_0's l2: 0.000619707
[448]	valid_0's rmse: 0.0248825	valid_0's l2: 0.000619137
[449]	valid_0's rmse: 0.0248714	valid_0's l2: 0.000618584
[450]	valid_0's rmse: 0.0248605	valid_0's l2: 0.000618045
[451]	valid_0's rmse: 0.0248495	valid_0's l2: 0.000617495
[452]	valid_0's rmse: 0.0248385	valid_0's l2: 0.000616951
[453]	valid_0's rmse: 0.0248281	valid_0's l2: 0.000616433
[454]	valid_0's rmse: 0.0248176	valid_0's l2: 0.000615915
[455]	valid_0's rmse: 0.024807	valid_0's l2: 0.00061539
[456]	valid_0's rmse: 0.0247966	valid_0's l2: 0.000614872
[457]	valid_0's rmse: 0.024787	valid_0's l2: 0.000614397
[458]	valid_0's rmse: 0.024777	valid_0's l2: 0.0006139
[459]	valid_0's rmse: 0.0247668	valid_0's l2: 0.000613392
[460]	valid_0's rmse: 0.0247569	valid_0's l2: 0.000612904
[461]	valid_0's rmse: 0.0247472	valid_0's l2: 0.000612426
[462]	valid_0's rmse: 0.0247377	valid_0's l2: 0.000611952
[463]	valid_0's rmse: 0.0247286	valid_0's l2: 0.000611502
[464]	valid_0's rmse: 0.0247193	valid_0's l2: 0.000611042
[465]	valid_0's rmse: 0.0247097	valid_0's l2: 0.00061057
[466]	valid_0's rmse: 0.0247011	valid_0's l2: 0.000610143
[467]	valid_0's rmse: 0.0246923	valid_0's l2: 0.000609709
[468]	valid_0's rmse: 0.0246831	valid_0's l2: 0.000609254
[469]	valid_0's rmse: 0.0246745	valid_0's l2: 0.000608833
[470]	valid_0's rmse: 0.0246662	valid_0's l2: 0.000608422
[471]	valid_0's rmse: 0.0246578	valid_0's l2: 0.000608005
[472]	valid_0's rmse: 0.0246494	valid_0's l2: 0.000607595
[473]	valid_0's rmse: 0.0246414	valid_0's l2: 0.000607199
[474]	valid_0's rmse: 0.024633	valid_0's l2: 0.000606787
[475]	valid_0's rmse: 0.024625	valid_0's l2: 0.00060639
[476]	valid_0's rmse: 0.0246167	valid_0's l2: 0.000605983
[477]	valid_0's rmse: 0.024609	valid_0's l2: 0.000605601
[478]	valid_0's rmse: 0.0246016	valid_0's l2: 0.000605238
[479]	valid_0's rmse: 0.0245941	valid_0's l2: 0.000604872
[480]	valid_0's rmse: 0.0245865	valid_0's l2: 0.000604495
[481]	valid_0's rmse: 0.0245791	valid_0's l2: 0.00060413
[482]	valid_0's rmse: 0.0245719	valid_0's l2: 0.000603776
[483]	valid_0's rmse: 0.0245645	valid_0's l2: 0.000603414
[484]	valid_0's rmse: 0.0245571	valid_0's l2: 0.000603049
[485]	valid_0's rmse: 0.02455	valid_0's l2: 0.000602704
[486]	valid_0's rmse: 0.024543	valid_0's l2: 0.000602357
[487]	valid_0's rmse: 0.0245361	valid_0's l2: 0.000602021
[488]	valid_0's rmse: 0.0245292	valid_0's l2: 0.000601681
[489]	valid_0's rmse: 0.0245229	valid_0's l2: 0.000601371
[490]	valid_0's rmse: 0.0245163	valid_0's l2: 0.000601047
[491]	valid_0's rmse: 0.0245098	valid_0's l2: 0.000600728
[492]	valid_0's rmse: 0.0245032	valid_0's l2: 0.000600405
[493]	valid_0's rmse: 0.024497	valid_0's l2: 0.000600103
[494]	valid_0's rmse: 0.024491	valid_0's l2: 0.000599809
[495]	valid_0's rmse: 0.0244843	valid_0's l2: 0.00059948
[496]	valid_0's rmse: 0.0244777	valid_0's l2: 0.000599155
[497]	valid_0's rmse: 0.0244714	valid_0's l2: 0.000598847
[498]	valid_0's rmse: 0.0244654	valid_0's l2: 0.000598554
[499]	valid_0's rmse: 0.0244598	valid_0's l2: 0.000598284
[500]	valid_0's rmse: 0.0244537	valid_0's l2: 0.000597986
[501]	valid_0's rmse: 0.024448	valid_0's l2: 0.000597706
[502]	valid_0's rmse: 0.0244421	valid_0's l2: 0.000597415
[503]	valid_0's rmse: 0.0244363	valid_0's l2: 0.000597133
[504]	valid_0's rmse: 0.0244307	valid_0's l2: 0.000596858
[505]	valid_0's rmse: 0.024425	valid_0's l2: 0.000596582
[506]	valid_0's rmse: 0.0244196	valid_0's l2: 0.000596314
[507]	valid_0's rmse: 0.0244143	valid_0's l2: 0.000596056
[508]	valid_0's rmse: 0.0244084	valid_0's l2: 0.00059577
[509]	valid_0's rmse: 0.0244028	valid_0's l2: 0.000595494
[510]	valid_0's rmse: 0.0243978	valid_0's l2: 0.000595253
[511]	valid_0's rmse: 0.0243927	valid_0's l2: 0.000595006
[512]	valid_0's rmse: 0.0243877	valid_0's l2: 0.000594761
[513]	valid_0's rmse: 0.0243827	valid_0's l2: 0.000594518
[514]	valid_0's rmse: 0.0243779	valid_0's l2: 0.000594283
[515]	valid_0's rmse: 0.024373	valid_0's l2: 0.000594045
[516]	valid_0's rmse: 0.0243683	valid_0's l2: 0.000593815
[517]	valid_0's rmse: 0.0243635	valid_0's l2: 0.00059358
[518]	valid_0's rmse: 0.0243589	valid_0's l2: 0.000593355
[519]	valid_0's rmse: 0.0243546	valid_0's l2: 0.000593146
[520]	valid_0's rmse: 0.0243496	valid_0's l2: 0.000592904
[521]	valid_0's rmse: 0.0243448	valid_0's l2: 0.000592672
[522]	valid_0's rmse: 0.0243407	valid_0's l2: 0.000592468
[523]	valid_0's rmse: 0.0243357	valid_0's l2: 0.000592228
[524]	valid_0's rmse: 0.0243315	valid_0's l2: 0.000592022
[525]	valid_0's rmse: 0.024327	valid_0's l2: 0.000591802
[526]	valid_0's rmse: 0.0243226	valid_0's l2: 0.000591588
[527]	valid_0's rmse: 0.0243185	valid_0's l2: 0.000591391
[528]	valid_0's rmse: 0.0243141	valid_0's l2: 0.000591176
[529]	valid_0's rmse: 0.0243098	valid_0's l2: 0.000590967
[530]	valid_0's rmse: 0.0243057	valid_0's l2: 0.000590769
[531]	valid_0's rmse: 0.0243017	valid_0's l2: 0.000590573
[532]	valid_0's rmse: 0.0242973	valid_0's l2: 0.000590358
[533]	valid_0's rmse: 0.0242931	valid_0's l2: 0.000590156
[534]	valid_0's rmse: 0.0242892	valid_0's l2: 0.000589965
[535]	valid_0's rmse: 0.0242854	valid_0's l2: 0.000589781
[536]	valid_0's rmse: 0.0242812	valid_0's l2: 0.000589578
[537]	valid_0's rmse: 0.0242772	valid_0's l2: 0.000589385
[538]	valid_0's rmse: 0.0242739	valid_0's l2: 0.000589224
[539]	valid_0's rmse: 0.0242705	valid_0's l2: 0.000589055
[540]	valid_0's rmse: 0.0242668	valid_0's l2: 0.000588879
[541]	valid_0's rmse: 0.0242631	valid_0's l2: 0.000588697
[542]	valid_0's rmse: 0.0242595	valid_0's l2: 0.000588525
[543]	valid_0's rmse: 0.0242559	valid_0's l2: 0.000588346
[544]	valid_0's rmse: 0.0242523	valid_0's l2: 0.000588175
[545]	valid_0's rmse: 0.0242491	valid_0's l2: 0.000588017
[546]	valid_0's rmse: 0.0242453	valid_0's l2: 0.000587834
[547]	valid_0's rmse: 0.0242418	valid_0's l2: 0.000587665
[548]	valid_0's rmse: 0.0242385	valid_0's l2: 0.000587506
[549]	valid_0's rmse: 0.0242352	valid_0's l2: 0.000587345
[550]	valid_0's rmse: 0.0242319	valid_0's l2: 0.000587185
[551]	valid_0's rmse: 0.024229	valid_0's l2: 0.000587042
[552]	valid_0's rmse: 0.024226	valid_0's l2: 0.0005869
[553]	valid_0's rmse: 0.0242233	valid_0's l2: 0.000586768
[554]	valid_0's rmse: 0.0242203	valid_0's l2: 0.000586623
[555]	valid_0's rmse: 0.0242172	valid_0's l2: 0.000586473
[556]	valid_0's rmse: 0.0242141	valid_0's l2: 0.000586321
[557]	valid_0's rmse: 0.0242112	valid_0's l2: 0.000586182
[558]	valid_0's rmse: 0.0242081	valid_0's l2: 0.000586031
[559]	valid_0's rmse: 0.0242051	valid_0's l2: 0.000585889
[560]	valid_0's rmse: 0.0242021	valid_0's l2: 0.000585741
[561]	valid_0's rmse: 0.0241993	valid_0's l2: 0.000585606
[562]	valid_0's rmse: 0.0241965	valid_0's l2: 0.000585471
[563]	valid_0's rmse: 0.0241936	valid_0's l2: 0.000585329
[564]	valid_0's rmse: 0.0241909	valid_0's l2: 0.000585199
[565]	valid_0's rmse: 0.0241883	valid_0's l2: 0.000585075
[566]	valid_0's rmse: 0.0241854	valid_0's l2: 0.000584932
[567]	valid_0's rmse: 0.0241826	valid_0's l2: 0.000584797
[568]	valid_0's rmse: 0.02418	valid_0's l2: 0.00058467
[569]	valid_0's rmse: 0.0241776	valid_0's l2: 0.000584554
[570]	valid_0's rmse: 0.0241749	valid_0's l2: 0.000584424
[571]	valid_0's rmse: 0.0241725	valid_0's l2: 0.00058431
[572]	valid_0's rmse: 0.02417	valid_0's l2: 0.000584187
[573]	valid_0's rmse: 0.0241671	valid_0's l2: 0.00058405
[574]	valid_0's rmse: 0.0241647	valid_0's l2: 0.000583931
[575]	valid_0's rmse: 0.0241626	valid_0's l2: 0.000583831
[576]	valid_0's rmse: 0.0241601	valid_0's l2: 0.000583713
[577]	valid_0's rmse: 0.024158	valid_0's l2: 0.000583611
[578]	valid_0's rmse: 0.0241555	valid_0's l2: 0.000583487
[579]	valid_0's rmse: 0.0241535	valid_0's l2: 0.000583393
[580]	valid_0's rmse: 0.0241515	valid_0's l2: 0.000583294
[581]	valid_0's rmse: 0.0241493	valid_0's l2: 0.000583189
[582]	valid_0's rmse: 0.0241472	valid_0's l2: 0.000583088
[583]	valid_0's rmse: 0.0241451	valid_0's l2: 0.000582984
[584]	valid_0's rmse: 0.0241431	valid_0's l2: 0.00058289
[585]	valid_0's rmse: 0.024141	valid_0's l2: 0.000582789
[586]	valid_0's rmse: 0.0241389	valid_0's l2: 0.000582685
[587]	valid_0's rmse: 0.0241369	valid_0's l2: 0.000582588
[588]	valid_0's rmse: 0.024135	valid_0's l2: 0.000582498
[589]	valid_0's rmse: 0.0241329	valid_0's l2: 0.000582396
[590]	valid_0's rmse: 0.0241307	valid_0's l2: 0.000582289
[591]	valid_0's rmse: 0.0241289	valid_0's l2: 0.000582202
[592]	valid_0's rmse: 0.0241267	valid_0's l2: 0.000582099
[593]	valid_0's rmse: 0.024125	valid_0's l2: 0.000582015
[594]	valid_0's rmse: 0.0241233	valid_0's l2: 0.000581932
[595]	valid_0's rmse: 0.0241214	valid_0's l2: 0.000581841
[596]	valid_0's rmse: 0.0241196	valid_0's l2: 0.000581755
[597]	valid_0's rmse: 0.0241178	valid_0's l2: 0.000581666
[598]	valid_0's rmse: 0.024116	valid_0's l2: 0.00058158
[599]	valid_0's rmse: 0.0241143	valid_0's l2: 0.000581499
[600]	valid_0's rmse: 0.0241122	valid_0's l2: 0.000581396
[601]	valid_0's rmse: 0.0241103	valid_0's l2: 0.000581307
[602]	valid_0's rmse: 0.0241085	valid_0's l2: 0.000581218
[603]	valid_0's rmse: 0.0241066	valid_0's l2: 0.000581129
[604]	valid_0's rmse: 0.0241049	valid_0's l2: 0.000581045
[605]	valid_0's rmse: 0.0241033	valid_0's l2: 0.000580968
[606]	valid_0's rmse: 0.0241014	valid_0's l2: 0.000580879
[607]	valid_0's rmse: 0.0240998	valid_0's l2: 0.000580798
[608]	valid_0's rmse: 0.0240981	valid_0's l2: 0.000580718
[609]	valid_0's rmse: 0.0240961	valid_0's l2: 0.000580621
[610]	valid_0's rmse: 0.0240944	valid_0's l2: 0.000580539
[611]	valid_0's rmse: 0.0240923	valid_0's l2: 0.000580441
[612]	valid_0's rmse: 0.0240906	valid_0's l2: 0.000580356
[613]	valid_0's rmse: 0.0240887	valid_0's l2: 0.000580266
[614]	valid_0's rmse: 0.024087	valid_0's l2: 0.000580184
[615]	valid_0's rmse: 0.0240855	valid_0's l2: 0.000580113
[616]	valid_0's rmse: 0.0240839	valid_0's l2: 0.000580033
[617]	valid_0's rmse: 0.0240824	valid_0's l2: 0.000579963
[618]	valid_0's rmse: 0.0240811	valid_0's l2: 0.000579898
[619]	valid_0's rmse: 0.0240797	valid_0's l2: 0.000579832
[620]	valid_0's rmse: 0.0240784	valid_0's l2: 0.000579768
[621]	valid_0's rmse: 0.0240769	valid_0's l2: 0.000579698
[622]	valid_0's rmse: 0.0240757	valid_0's l2: 0.000579639
[623]	valid_0's rmse: 0.0240741	valid_0's l2: 0.000579563
[624]	valid_0's rmse: 0.0240728	valid_0's l2: 0.000579501
[625]	valid_0's rmse: 0.0240712	valid_0's l2: 0.000579421
[626]	valid_0's rmse: 0.02407	valid_0's l2: 0.000579364
[627]	valid_0's rmse: 0.024069	valid_0's l2: 0.000579318
[628]	valid_0's rmse: 0.0240676	valid_0's l2: 0.000579251
[629]	valid_0's rmse: 0.0240665	valid_0's l2: 0.000579194
[630]	valid_0's rmse: 0.0240651	valid_0's l2: 0.00057913
[631]	valid_0's rmse: 0.0240637	valid_0's l2: 0.000579062
[632]	valid_0's rmse: 0.0240626	valid_0's l2: 0.000579009
[633]	valid_0's rmse: 0.0240612	valid_0's l2: 0.000578941
[634]	valid_0's rmse: 0.02406	valid_0's l2: 0.000578885
[635]	valid_0's rmse: 0.0240587	valid_0's l2: 0.000578822
[636]	valid_0's rmse: 0.0240573	valid_0's l2: 0.000578754
[637]	valid_0's rmse: 0.0240561	valid_0's l2: 0.000578695
[638]	valid_0's rmse: 0.0240549	valid_0's l2: 0.000578636
[639]	valid_0's rmse: 0.0240535	valid_0's l2: 0.000578572
[640]	valid_0's rmse: 0.0240525	valid_0's l2: 0.000578523
[641]	valid_0's rmse: 0.0240515	valid_0's l2: 0.000578473
[642]	valid_0's rmse: 0.0240504	valid_0's l2: 0.000578423
